Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,HBIPS-2_Measure_Description,HBIPS-2_Overall_Rate_Per_1000,HBIPS-2_Overall_Num,HBIPS-2_Overall_Den,HBIPS-2_Overall_Footnote,HBIPS-3_Measure_Description,HBIPS-3_Overall_Rate_Per_1000,HBIPS-3_Overall_Num,HBIPS-3_Overall_Den,HBIPS-3_Overall_Footnote,HBIPS-5_Measure_Description,HBIPS-5_Overall_%_of_Total,HBIPS-5_Overall_Num,HBIPS-5_Overall_Den,HBIPS-5_Overall_Footnote,HBIPS-6_Measure_Description,HBIPS-6_Overall_%_of_Total,HBIPS-6_Overall_Num,HBIPS-6_Overall_Den,HBIPS-6_Overall_Footnote,HBIPS-7_Measure_Description,HBIPS-7_Overall_%_of_Total,HBIPS-7_Overall_Num,HBIPS-7_Overall_Den,HBIPS-7_Overall_Footnote,SUB-1_Measure_Description,SUB-1_%,SUB-1_Numerator,SUB-1_Denominator,SUB-1_Footnote,TOB-1_Measure_Description,TOB-1_%,TOB-1_Numerator,TOB-1_Denominator,TOB-1_Footnote,TOB-2/-2a_Measure_Desc,TOB-2_%,TOB-2_Numerator,TOB-2/-2a_Denominator,TOB-2_Footnote,TOB-2a_%,TOB-2a_Numerator,TOB-2/-2a__Denominator,TOB-2a_Footnote,PEoC_Measure_Description,PEoC_Assessed_Response,PEoC_Assessed_Footnote,EHR_Use_Measure_Description,EHR_Use_Response,EHR_Use_Footnote,HIE_Measure_Description,HIE_Response,HIE_Footnote,Start_Date,End_Date,FUH_Measure_Description,FUH-30_%,FUH-30_Numerator,FUH-30_Denominator,FUH-30_Footnote,FUH-7_%,FUH-7_Numerator,FUH-7_Denominator,FUH-7_Footnote,FUH_Measure_Start_Date,FUH_Measure_End_Date,IMM-2_Measure_Description,IMM-2_%,IMM-2_Numerator,IMM-2_Denominator,IMM-2_Footnote,HCP_Measure_Description,HCP_%,HCP_Numerator,HCP_Denominator,HCP_Footnote,Flu_Season_Start_Date,Flu_Season_End_Date
"104068","CENTERS INC, THE","5664 SW 60TH AVE ","OCALA","FL","34474","Marion","Hours of physical-restraint use","Not Available","0","0","7","Hours of seclusion","1.11","119.98","4512","","Patients discharged on multiple antipsychotic medications with appropriate justification","100.00%","140","140","","Post-discharge continuing care plan created","100.00%","845","845","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","100.00%","845","845","","Alcohol Use Screening","100.00%","902","902","","Tobacco Use Screening","100.00%","902","902","","Tobacco Use Treatment (during the hospital stay)","Not Available","Not Available","Not Available","7","Not Available","Not Available","Not Available","7","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","37.83%","87","230","","15.22%","35","230","","07/01/2014","06/30/2015","Influenza Immunization","0.00%","0","410","","Healthcare Personnel Influenza Vaccination","0","0","150","","10/01/2015","03/31/2016"
"104069","WEKIVA SPRINGS","3947 SALISBURY RD ","JACKSONVILLE","FL","32216","Duval","Hours of physical-restraint use","0.03","13.65","22604","","Hours of seclusion","0.02","11.76","22604","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","99.40%","828","833","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","98.68%","822","833","","Alcohol Use Screening","99.70%","671","673","","Tobacco Use Screening","95.25%","641","673","","Tobacco Use Treatment (during the hospital stay)","98.14%","370","377","","10.61%","40","377","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","Yes","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","56.85%","112","197","","36.04%","71","197","","07/01/2014","06/30/2015","Influenza Immunization","86.78%","315","363","","Healthcare Personnel Influenza Vaccination","33","78","238","","10/01/2015","03/31/2016"
"104070","PORT ST LUCIE HOSPITAL","2550 SE WALTON RD ","PORT SAINT LUCIE","FL","34952","Saint Lucie","Hours of physical-restraint use","0.00","2.58","303600","","Hours of seclusion","Not Available","0","0","7","Patients discharged on multiple antipsychotic medications with appropriate justification","100.00%","21","21","","Post-discharge continuing care plan created","99.40%","329","331","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","93.66%","310","331","","Alcohol Use Screening","99.83%","593","594","","Tobacco Use Screening","99.29%","563","567","","Tobacco Use Treatment (during the hospital stay)","73.86%","291","394","","6.60%","26","394","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","Yes","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","48.65%","90","185","","21.62%","40","185","","07/01/2014","06/30/2015","Influenza Immunization","70.20%","106","151","","Healthcare Personnel Influenza Vaccination","8","14","178","","10/01/2015","03/31/2016"
"104071","VINES HOSPITAL","3130 SW 27TH AVE ","OCALA","FL","34474","Marion","Hours of physical-restraint use","0.02","9.58","17838","","Hours of seclusion","0.08","34.03","17838","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","87.56%","704","804","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","79.73%","641","804","","Alcohol Use Screening","84.12%","498","592","","Tobacco Use Screening","94.09%","557","592","","Tobacco Use Treatment (during the hospital stay)","89.30%","267","299","","10.70%","32","299","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","Yes","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","52.05%","152","292","","29.45%","86","292","","07/01/2014","06/30/2015","Influenza Immunization","81.82%","288","352","","Healthcare Personnel Influenza Vaccination","32","74","228","","10/01/2015","03/31/2016"
"104072","CENTRAL FLORIDA BEHAVIORAL HOSPITAL","6601 CENTRAL FLORIDA PARKWAY ","ORLANDO","FL","32821","Orange","Hours of physical-restraint use","0.03","28.65","41289","","Hours of seclusion","0.20","203","41289","","Patients discharged on multiple antipsychotic medications with appropriate justification","35.48%","11","31","","Post-discharge continuing care plan created","99.88%","1612","1614","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","93.80%","1514","1614","","Alcohol Use Screening","99.84%","633","634","","Tobacco Use Screening","99.37%","630","634","","Tobacco Use Treatment (during the hospital stay)","50.23%","107","213","","48.36%","103","213","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","Yes","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","46.72%","214","458","","28.38%","130","458","","07/01/2014","06/30/2015","Influenza Immunization","71.88%","455","633","","Healthcare Personnel Influenza Vaccination","73","374","514","","10/01/2015","03/31/2016"
"104073","EMERALD COAST BEHAVIORAL HOSPITAL","1940 HARRISON AVE ","PANAMA CITY","FL","32405","Bay","Hours of physical-restraint use","0.08","52.03","25801","","Hours of seclusion","0.18","109.9","25801","","Patients discharged on multiple antipsychotic medications with appropriate justification","81.25%","13","16","","Post-discharge continuing care plan created","99.51%","1020","1025","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","98.15%","1006","1025","","Alcohol Use Screening","98.28%","285","290","","Tobacco Use Screening","96.90%","281","290","","Tobacco Use Treatment (during the hospital stay)","84.21%","128","152","","26.97%","41","152","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","48.45%","125","258","","24.03%","62","258","","07/01/2014","06/30/2015","Influenza Immunization","65.35%","232","355","","Healthcare Personnel Influenza Vaccination","68","213","311","","10/01/2015","03/31/2016"
"104074","PARK ROYAL HOSPITAL","9241 PARK ROYAL DR ","FORT MYERS","FL","33908","Lee","Hours of physical-restraint use","0.05","36.2","29565","","Hours of seclusion","0.06","41.1","29565","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","97.75%","652","667","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","88.91%","593","667","","Alcohol Use Screening","88.29%","520","589","","Tobacco Use Screening","89.58%","533","595","","Tobacco Use Treatment (during the hospital stay)","67.46%","141","209","","46.41%","97","209","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","Yes","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","49.16%","353","718","","28.41%","204","718","","07/01/2014","06/30/2015","Influenza Immunization","28.94%","112","387","","Healthcare Personnel Influenza Vaccination","72","237","328","","10/01/2015","03/31/2016"
"104075","NORTH TAMPA BEHAVIORAL HEALTH","29910 SR 56 ","WESLEY CHAPEL","FL","33543","Pasco","Hours of physical-restraint use","0.01","5.02","19938","","Hours of seclusion","0.67","322.4","19938","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","94.68%","730","771","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","80.03%","617","771","","Alcohol Use Screening","22.92%","127","554","","Tobacco Use Screening","38.60%","215","557","","Tobacco Use Treatment (during the hospital stay)","74.74%","71","95","","50.53%","48","95","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","47.46%","140","295","","26.78%","79","295","","07/01/2014","06/30/2015","Influenza Immunization","46.86%","149","318","","Healthcare Personnel Influenza Vaccination","38","88","229","","10/01/2015","03/31/2016"
"104076","UNIVERSITY BEHAVIORAL CENTER","2500 DISCOVERY DRIVE ","ORLANDO","FL","32826","Orange","Hours of physical-restraint use","0.13","63.45","20452","","Hours of seclusion","0.23","111.3","20452","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","0","0","7","Post-discharge continuing care plan created","97.36%","1105","1135","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","97.36%","1105","1135","","Alcohol Use Screening","100.00%","256","256","","Tobacco Use Screening","100.00%","256","256","","Tobacco Use Treatment (during the hospital stay)","99.00%","99","100","","98.00%","98","100","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","Yes","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","31.91%","30","94","","Not Available","Not Available","Not Available","1","07/01/2014","06/30/2015","Influenza Immunization","43.31%","204","471","","Healthcare Personnel Influenza Vaccination","45","132","294","","10/01/2015","03/31/2016"
"104078","SUNCOAST BEHAVIORAL HEALTH CENTER","4480 51ST ST. W ","BRADENTON ","FL","34210","Manatee","Hours of physical-restraint use","0.05","10.41","8515","","Hours of seclusion","0.48","98.13","8515","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","97.49%","737","756","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","81.08%","613","756","","Alcohol Use Screening","98.14%","264","269","","Tobacco Use Screening","98.14%","264","269","","Tobacco Use Treatment (during the hospital stay)","92.81%","129","139","","45.32%","63","139","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","59.70%","40","67","","25.37%","17","67","","07/01/2014","06/30/2015","Influenza Immunization","90.98%","353","388","","Healthcare Personnel Influenza Vaccination","51","49","96","","10/01/2015","03/31/2016"
"104079","LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH ","7031 SW 62ND AVE ","SOUTH MIAMI ","FL","33143","Miami-Dade","Hours of physical-restraint use","0.07","3","1755","","Hours of seclusion","0.00","0","1755","","Patients discharged on multiple antipsychotic medications with appropriate justification","100.00%","12","12","","Post-discharge continuing care plan created","100.00%","66","66","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","100.00%","66","66","","Alcohol Use Screening","100.00%","103","103","","Tobacco Use Screening","100.00%","103","103","","Tobacco Use Treatment (during the hospital stay)","100.00%","82","82","","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","5","Not Available","Not Available","Not Available","5","07/01/2014","06/30/2015","Influenza Immunization","99.31%","143","144","","Healthcare Personnel Influenza Vaccination","58","53","92","","10/01/2015","03/31/2016"
"110001","HAMILTON MEDICAL CENTER","1200 MEMORIAL DRIVE ","DALTON","GA","30720","Whitfield","Hours of physical-restraint use","0.00","0","3041","","Hours of seclusion","0.00","0","3041","","Patients discharged on multiple antipsychotic medications with appropriate justification","100.00%","27","27","","Post-discharge continuing care plan created","90.41%","198","219","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","90.41%","198","219","","Alcohol Use Screening","99.76%","414","415","","Tobacco Use Screening","100.00%","415","415","","Tobacco Use Treatment (during the hospital stay)","94.07%","254","270","","49.26%","133","270","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","No","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","66.27%","55","83","","26.51%","22","83","","07/01/2014","06/30/2015","Influenza Immunization","99.23%","259","261","","Healthcare Personnel Influenza Vaccination","100","24","24","","10/01/2015","03/31/2016"
"110003","MAYO CLINIC HEALTH SYSTEM IN WAYCROSS","1900 TEBEAU STREET ","WAYCROSS","GA","31501","Ware","Hours of physical-restraint use","0.00","0","3367","","Hours of seclusion","0.00","0","3367","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","98.24%","335","341","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","96.48%","329","341","","Alcohol Use Screening","51.52%","68","132","","Tobacco Use Screening","99.35%","152","153","","Tobacco Use Treatment (during the hospital stay)","65.52%","19","29","","51.72%","15","29","","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","61.76%","21","34","","Not Available","Not Available","Not Available","1","07/01/2014","06/30/2015","Influenza Immunization","90.79%","138","152","","Healthcare Personnel Influenza Vaccination","60","21","35","","10/01/2015","03/31/2016"
"110007","PHOEBE PUTNEY MEMORIAL HOSPITAL","417 THIRD AVENUE ","ALBANY","GA","31703","Dougherty","Hours of physical-restraint use","0.00",".13","6359","","Hours of seclusion","0.23","34.91","6359","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","2.64%","11","416","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","Not Available","Not Available","Not Available","1","Alcohol Use Screening","85.23%","329","386","","Tobacco Use Screening","99.22%","381","384","","Tobacco Use Treatment (during the hospital stay)","Not Available","Not Available","Not Available","1","0.00%","0","160","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","46.48%","66","142","","24.65%","35","142","","07/01/2014","06/30/2015","Influenza Immunization","52.35%","189","361","","Healthcare Personnel Influenza Vaccination","85","78","92","","10/01/2015","03/31/2016"
"110010","EMORY UNIVERSITY HOSPITAL","1364 CLIFTON ROAD, NE ROOM C-228","ATLANTA","GA","30322","DeKalb","Hours of physical-restraint use","0.13","14.79","4677","","Hours of seclusion","0.48","53.32","4677","","Patients discharged on multiple antipsychotic medications with appropriate justification","100.00%","12","12","","Post-discharge continuing care plan created","98.23%","333","339","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","97.35%","330","339","","Alcohol Use Screening","99.53%","425","427","","Tobacco Use Screening","99.30%","423","426","","Tobacco Use Treatment (during the hospital stay)","96.64%","115","119","","33.61%","40","119","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","No","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","71.96%","77","107","","49.53%","53","107","","07/01/2014","06/30/2015","Influenza Immunization","99.31%","288","290","","Healthcare Personnel Influenza Vaccination","97","534","553","","10/01/2015","03/31/2016"
"110015","TANNER MEDICAL CENTER VILLA RICA","601 DALLAS HIGHWAY ","VILLA RICA","GA","30180","Carroll","Hours of physical-restraint use","0.03","13.63","21623","","Hours of seclusion","0.02","9.16","21623","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","97.30%","828","851","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","97.06%","826","851","","Alcohol Use Screening","99.82%","548","549","","Tobacco Use Screening","100.00%","544","544","","Tobacco Use Treatment (during the hospital stay)","87.96%","314","357","","18.49%","66","357","","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","41.90%","106","253","","20.95%","53","253","","07/01/2014","06/30/2015","Influenza Immunization","100.00%","1828","1828","","Healthcare Personnel Influenza Vaccination","99","1676","1700","","10/01/2015","03/31/2016"
"110029","NORTHEAST GEORGIA MEDICAL CENTER, INC","743 SPRING STREET ","GAINESVILLE","GA","30501","Hall","Hours of physical-restraint use","0.05","16.53","12955","","Hours of seclusion","0.01","3.47","12955","","Patients discharged on multiple antipsychotic medications with appropriate justification","33.33%","13","39","","Post-discharge continuing care plan created","86.54%","701","810","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","84.20%","682","810","","Alcohol Use Screening","91.72%","277","302","","Tobacco Use Screening","98.68%","299","303","","Tobacco Use Treatment (during the hospital stay)","48.69%","93","191","","41.88%","80","191","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","54.33%","113","208","","28.85%","60","208","","07/01/2014","06/30/2015","Influenza Immunization","94.65%","354","374","","Healthcare Personnel Influenza Vaccination","85","216","253","","10/01/2015","03/31/2016"
"110036","MEMORIAL UNIVERSITY MEDICAL CENTER","4700 WATERS AVENUE ","SAVANNAH","GA","31403","Chatham","Hours of physical-restraint use","0.01","2.07","7707","","Hours of seclusion","0.05","10.15","7707","","Patients discharged on multiple antipsychotic medications with appropriate justification","34.38%","11","32","","Post-discharge continuing care plan created","83.98%","304","362","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","57.73%","209","362","","Alcohol Use Screening","91.90%","397","432","","Tobacco Use Screening","96.32%","419","435","","Tobacco Use Treatment (during the hospital stay)","24.30%","52","214","","19.16%","41","214","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","42.00%","21","50","","Not Available","Not Available","Not Available","1","07/01/2014","06/30/2015","Influenza Immunization","89.50%","179","200","","Healthcare Personnel Influenza Vaccination","100","11","11","","10/01/2015","03/31/2016"
"110038","JOHN D ARCHBOLD MEMORIAL HOSPITAL","915 GORDON AVENUE & MIMOSA DRIVE ","THOMASVILLE","GA","31792","Thomas","Hours of physical-restraint use","0.00","0","5810","","Hours of seclusion","0.00","0","5810","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","100.00%","470","470","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","98.94%","465","470","","Alcohol Use Screening","97.93%","425","434","","Tobacco Use Screening","100.00%","434","434","","Tobacco Use Treatment (during the hospital stay)","76.21%","157","206","","68.45%","141","206","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","35.80%","29","81","","Not Available","Not Available","Not Available","1","07/01/2014","06/30/2015","Influenza Immunization","93.25%","304","326","","Healthcare Personnel Influenza Vaccination","Not Available","Not Available","Not Available","5","10/01/2015","03/31/2016"
"110039","TRINITY HOSPITAL OF AUGUSTA","2260 WRIGHTSBORO RD ","AUGUSTA","GA","30904","Richmond","Hours of physical-restraint use","0.00","0","4222","","Hours of seclusion","0.00","0","4222","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","98.78%","243","246","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","95.12%","234","246","","Alcohol Use Screening","97.62%","246","252","","Tobacco Use Screening","100.00%","253","253","","Tobacco Use Treatment (during the hospital stay)","100.00%","36","36","","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","36.84%","14","38","","Not Available","Not Available","Not Available","1","07/01/2014","06/30/2015","Influenza Immunization","92.86%","104","112","","Healthcare Personnel Influenza Vaccination","32","12","37","","10/01/2015","03/31/2016"
"110040","NORTHRIDGE MEDICAL CENTER","70 MEDICAL CENTER DRIVE ","COMMERCE","GA","30529","Jackson","Hours of physical-restraint use","4.17","31.25","312","","Hours of seclusion","1.03","7.75","312","","Patients discharged on multiple antipsychotic medications with appropriate justification","93.94%","62","66","","Post-discharge continuing care plan created","97.07%","397","409","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","95.11%","389","409","","Alcohol Use Screening","100.00%","409","409","","Tobacco Use Screening","100.00%","409","409","","Tobacco Use Treatment (during the hospital stay)","35.19%","19","54","","29.63%","16","54","","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","39.47%","15","38","","Not Available","Not Available","Not Available","1","07/01/2014","06/30/2015","Influenza Immunization","52.85%","102","193","","Healthcare Personnel Influenza Vaccination","54","19","35","","10/01/2015","03/31/2016"
"110054","FLOYD MEDICAL CENTER","304 TURNER MCCALL BLVD P O BOX 233 ","ROME","GA","30162","Floyd","Hours of physical-restraint use","0.00","0","6748","","Hours of seclusion","0.05","8.05","6748","","Patients discharged on multiple antipsychotic medications with appropriate justification","0.00%","0","51","","Post-discharge continuing care plan created","59.93%","335","559","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","14.85%","83","559","","Alcohol Use Screening","12.19%","69","566","","Tobacco Use Screening","99.82%","564","565","","Tobacco Use Treatment (during the hospital stay)","Not Available","Not Available","Not Available","1","0.00%","0","324","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","51.05%","122","239","","23.43%","56","239","","07/01/2014","06/30/2015","Influenza Immunization","99.43%","174","175","","Healthcare Personnel Influenza Vaccination","93","176","190","","10/01/2015","03/31/2016"
"110071","APPLING HOSPITAL","163 E TOLLISON STREET ","BAXLEY","GA","31513","Appling","Hours of physical-restraint use","Not Available","0","0","7","Hours of seclusion","Not Available","0","0","7","Patients discharged on multiple antipsychotic medications with appropriate justification","100.00%","257","257","","Post-discharge continuing care plan created","100.00%","738","738","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","100.00%","738","738","","Alcohol Use Screening","100.00%","712","712","","Tobacco Use Screening","100.00%","712","712","","Tobacco Use Treatment (during the hospital stay)","100.00%","145","145","","100.00%","145","145","","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2014","06/30/2015","Influenza Immunization","97.65%","83","85","","Healthcare Personnel Influenza Vaccination","88","60","68","","10/01/2015","03/31/2016"
"110079","GRADY MEMORIAL HOSPITAL","80 JESSE HILL, JR DRIVE SE ","ATLANTA","GA","30303","Fulton","Hours of physical-restraint use","0.50","103.55","8646","","Hours of seclusion","0.25","51.88","8646","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","96.97%","224","231","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","92.64%","214","231","","Alcohol Use Screening","89.78%","457","509","","Tobacco Use Screening","92.59%","475","513","","Tobacco Use Treatment (during the hospital stay)","0.00%","0","211","","0.00%","0","211","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","35.71%","35","98","","17.35%","17","98","","07/01/2014","06/30/2015","Influenza Immunization","98.34%","297","302","","Healthcare Personnel Influenza Vaccination","100","184","184","","10/01/2015","03/31/2016"
"110092","DODGE COUNTY HOSPITAL","901 GRIFFIN AVE ","EASTMAN","GA","31023","Dodge","Hours of physical-restraint use","0.00","0","898","","Hours of seclusion","0.00","0","898","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","88.57%","62","70","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","48.57%","34","70","","Alcohol Use Screening","29.41%","20","68","","Tobacco Use Screening","98.57%","69","70","","Tobacco Use Treatment (during the hospital stay)","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2014","06/30/2015","Influenza Immunization","76.19%","16","21","","Healthcare Personnel Influenza Vaccination","51","168","330","","10/01/2015","03/31/2016"
